date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Precipitation,AQI_t+1,AQI_t+2,AQI_t+3,day,day_of_week,month,year,day_of_year,AQI_lag_1,AQI_lag_2,AQI_lag_3,AQI_lag_7,AQI_change_1d,AQI_change_3d,AQI_change_7d,AQI_rolling_mean_3,AQI_rolling_mean_7,PM2.5_rolling_mean_3,PM2.5_rolling_mean_7,PM10_rolling_mean_3,PM10_rolling_mean_7
2024-08-26,75.08333333333333,21.23333333333333,68.47083333333333,9.945833333333336,5.1875,192.875,60.29166666666666,29.691666666666663,73.5,0.0,76.0,64.45833333333333,56.625,26,0,8,2024,239,77.125,67.875,67.41666666666667,69.625,-2.0416666666666714,7.666666666666657,5.458333333333329,70.80555555555556,68.33928571428571,20.941666666666663,18.96845238095238,74.99861111111112,61.45952380952381
2024-08-27,76.0,20.791666666666668,50.62083333333334,13.975,8.254166666666666,284.625,84.70833333333333,29.02916666666667,82.04166666666667,2.1333333333333333,64.45833333333333,56.625,61.625,27,1,8,2024,240,75.08333333333333,77.125,67.875,65.25,0.9166666666666714,8.125,10.75,73.3611111111111,69.11904761904762,22.018055555555552,19.440476190476183,76.74722222222222,63.52380952380952
2024-08-28,64.45833333333333,11.629166666666668,17.604166666666668,17.325,8.85,364.9583333333333,81.125,27.554166666666664,86.75,0.95,56.625,61.625,58.458333333333336,28,2,8,2024,241,76.0,75.08333333333333,77.125,63.29166666666666,-11.541666666666671,-12.666666666666671,1.1666666666666714,76.06944444444444,70.6547619047619,21.90416666666667,20.06845238095238,67.01805555555556,64.60178571428573
2024-08-29,56.625,15.520833333333334,28.0625,20.04583333333333,9.158333333333331,354.3333333333333,74.95833333333333,27.60833333333333,88.83333333333333,0.9083333333333332,61.625,58.458333333333336,55.79166666666666,29,3,8,2024,242,64.45833333333333,76.0,75.08333333333333,67.79166666666667,-7.833333333333329,-18.45833333333333,-11.166666666666671,71.84722222222221,70.82142857142857,17.884722222222223,19.3375,45.56527777777777,60.7547619047619
2024-08-30,61.625,14.033333333333331,23.129166666666663,8.458333333333334,6.829166666666667,207.16666666666663,71.95833333333333,27.2875,82.66666666666667,1.0708333333333333,58.458333333333336,55.79166666666666,61.875,30,4,8,2024,243,56.625,64.45833333333333,76.0,67.41666666666667,5.0,-14.375,-5.791666666666671,65.69444444444444,69.22619047619047,15.980555555555556,18.857142857142858,32.09583333333334,55.679166666666674
2024-08-31,58.458333333333336,11.9,34.770833333333336,9.775,7.212499999999999,182.16666666666663,42.333333333333336,26.320833333333336,86.91666666666667,0.3541666666666667,55.79166666666666,61.875,61.91666666666666,31,5,8,2024,244,61.625,56.625,64.45833333333333,67.875,-3.1666666666666643,-5.999999999999993,-9.416666666666664,60.90277777777777,68.39880952380952,13.72777777777778,18.289880952380948,22.931944444444444,49.95119047619047
2024-09-01,55.79166666666666,14.025,41.204166666666666,14.875,10.6,260.2083333333333,34.583333333333336,27.008333333333336,88.08333333333333,0.0416666666666666,61.875,61.91666666666666,67.0,1,6,9,2024,245,58.458333333333336,61.625,56.625,77.125,-2.6666666666666785,-0.8333333333333428,-21.333333333333343,58.90277777777778,67.05357142857142,13.818055555555556,16.970833333333335,28.65416666666667,43.5172619047619
2024-09-02,61.875,15.3625,48.1625,21.27083333333333,10.033333333333331,302.875,42.5,27.0375,87.0,0.0,61.91666666666666,67.0,66.5,2,0,9,2024,246,55.79166666666666,58.458333333333336,61.625,75.08333333333333,6.083333333333343,0.25,-13.208333333333329,58.625,64.00595238095238,13.319444444444445,15.590476190476192,33.03472222222222,37.69464285714286
2024-09-03,61.91666666666666,16.191666666666666,62.2625,20.64583333333333,8.720833333333333,284.9583333333333,46.04166666666666,27.370833333333334,86.16666666666667,0.0,67.0,66.5,66.75,3,1,9,2024,247,61.875,55.79166666666666,58.458333333333336,76.0,0.0416666666666571,3.458333333333321,-14.083333333333345,58.708333333333336,62.119047619047606,13.7625,14.751785714285717,41.37916666666666,34.79345238095238
2024-09-04,67.0,18.883333333333333,63.40416666666667,17.7375,6.133333333333333,241.41666666666663,34.958333333333336,27.695833333333336,83.08333333333333,0.0916666666666666,66.5,66.75,68.125,4,2,9,2024,248,61.91666666666666,61.875,55.79166666666666,64.45833333333333,5.083333333333343,11.208333333333345,2.5416666666666714,59.86111111111111,60.10714285714285,15.193055555555556,14.094642857142857,50.543055555555554,36.45654761904762
2024-09-05,66.5,16.816666666666666,40.66666666666666,10.858333333333334,4.2625,194.16666666666663,46.125,28.0125,83.54166666666667,0.0083333333333333,66.75,68.125,63.583333333333336,5,3,9,2024,249,67.0,61.91666666666666,61.875,56.625,-0.5,4.625,9.875,63.59722222222222,60.47023809523809,16.8125,15.13095238095238,57.94305555555556,42.99940476190477
2024-09-06,66.75,19.058333333333334,50.875,12.533333333333331,4.6625000000000005,213.3333333333333,45.04166666666666,27.875,83.875,0.0375,68.125,63.583333333333336,61.708333333333336,6,4,9,2024,250,66.5,67.0,61.91666666666666,61.625,0.25,4.833333333333343,5.125,65.13888888888889,61.88095238095237,17.29722222222222,15.316071428571425,55.44444444444444,44.79999999999999
2024-09-07,68.125,17.479166666666668,49.925,14.225,5.454166666666667,227.41666666666663,44.583333333333336,27.541666666666668,83.04166666666667,0.0083333333333333,63.583333333333336,61.708333333333336,71.375,7,5,9,2024,251,66.75,66.5,67.0,58.458333333333336,1.375,1.125,9.666666666666664,66.75,62.613095238095234,18.25277777777778,16.03392857142857,51.64861111111111,48.76369047619047
2024-09-08,63.583333333333336,14.8375,48.04166666666666,14.454166666666666,5.629166666666666,229.5,47.458333333333336,27.52083333333333,84.54166666666667,0.0041666666666666,61.708333333333336,71.375,93.45833333333331,8,6,9,2024,252,68.125,66.75,66.5,55.79166666666666,-4.541666666666664,-2.9166666666666643,7.7916666666666785,67.125,63.99404761904761,17.784722222222225,16.830952380952382,47.15555555555554,50.92857142857143
